,Delta,L,l_a,dx,dy,alpha,beta,gamma,phi_f,H_b,f_H,N_aqt,f_aqt,l_conf,N_pal,s_pal,l_tra,t_tra,N_chan,l_surf_end,Kaqf_type,Kaqt_type,R,riv_res,Kh_aqf,Kh_Kv,index,n,Kv_aqt
36,Yangtze,414670.02347383596,0.5176887918626718,2000,2000,5.9999999999999995e-05,0.0003,0.005,0.7562720443428349,250,0.2,4,0.5,1.0,2,0.6,1.0,7000.0,1,0.125,min,max,0.0002898275349237889,51.26209742377916,4.0,10.0,29,0.25,2e-05
37,Yangtze,414670.02347383596,0.5176887918626718,2000,2000,5.9999999999999995e-05,0.0003,0.005,0.7562720443428349,250,0.2,4,0.5,1.0,2,0.6,1.0,7000.0,1,0.125,min,min,0.0002898275349237889,51.26209742377916,4.0,10.0,29,0.25,1e-06
38,Yangtze,414670.02347383596,0.5176887918626718,2000,2000,5.9999999999999995e-05,0.0003,0.005,0.7562720443428349,250,0.2,4,0.5,1.0,2,0.6,1.0,7000.0,1,0.125,min,mid_0,0.0002898275349237889,51.26209742377916,4.0,10.0,29,0.25,4.47213595499958e-06
39,Yangtze,414670.02347383596,0.5176887918626718,2000,2000,5.9999999999999995e-05,0.0003,0.005,0.7562720443428349,250,0.2,4,0.5,1.0,2,0.6,1.0,7000.0,1,0.125,max,max,0.0002898275349237889,51.26209742377916,15.0,10.0,60,0.25,2e-05
40,Yangtze,414670.02347383596,0.5176887918626718,2000,2000,5.9999999999999995e-05,0.0003,0.005,0.7562720443428349,250,0.2,4,0.5,1.0,2,0.6,1.0,7000.0,1,0.125,max,min,0.0002898275349237889,51.26209742377916,15.0,10.0,60,0.25,1e-06
41,Yangtze,414670.02347383596,0.5176887918626718,2000,2000,5.9999999999999995e-05,0.0003,0.005,0.7562720443428349,250,0.2,4,0.5,1.0,2,0.6,1.0,7000.0,1,0.125,max,mid_0,0.0002898275349237889,51.26209742377916,15.0,10.0,60,0.25,4.47213595499958e-06
42,Yangtze,414670.02347383596,0.5176887918626718,2000,2000,5.9999999999999995e-05,0.0003,0.005,0.7562720443428349,250,0.2,4,0.5,1.0,2,0.6,1.0,7000.0,1,0.125,mid_0,max,0.0002898275349237889,51.26209742377916,7.745966692414836,10.0,91,0.25,2e-05
43,Yangtze,414670.02347383596,0.5176887918626718,2000,2000,5.9999999999999995e-05,0.0003,0.005,0.7562720443428349,250,0.2,4,0.5,1.0,2,0.6,1.0,7000.0,1,0.125,mid_0,min,0.0002898275349237889,51.26209742377916,7.745966692414836,10.0,91,0.25,1e-06
44,Yangtze,414670.02347383596,0.5176887918626718,2000,2000,5.9999999999999995e-05,0.0003,0.005,0.7562720443428349,250,0.2,4,0.5,1.0,2,0.6,1.0,7000.0,1,0.125,mid_0,mid_0,0.0002898275349237889,51.26209742377916,7.745966692414836,10.0,91,0.25,4.47213595499958e-06
45,Red River,335840.31196757447,0.4044788762008115,1000,1000,5e-05,0.000354,0.0225,0.8304349371762603,150,0.26666666699999997,1,0.3,1.0,2,0.6,0.8,9000.0,3,0.078571429,min,max,0.0002898275349237889,51.26209742377916,4.92,10.0,21,0.155,0.00864
46,Red River,335840.31196757447,0.4044788762008115,1000,1000,5e-05,0.000354,0.0225,0.8304349371762603,150,0.26666666699999997,1,0.3,1.0,2,0.6,0.8,9000.0,3,0.078571429,min,min,0.0002898275349237889,51.26209742377916,4.92,10.0,21,0.155,8.64e-07
47,Red River,335840.31196757447,0.4044788762008115,1000,1000,5e-05,0.000354,0.0225,0.8304349371762603,150,0.26666666699999997,1,0.3,1.0,2,0.6,0.8,9000.0,3,0.078571429,min,mid_0,0.0002898275349237889,51.26209742377916,4.92,10.0,21,0.155,8.639999999999999e-05
