,Delta,L,l_a,alpha,beta,gamma,phi,H_b,H_a/H_b,N_aqt,Mud/Total,l_conf,N_pal,s_pal,l_tra,t_max,N_chan,l_sal,Kaqf_type,Kaqt_type,Recharge,riv_c,n,Anisotropy,Kaqf,index,Kaqt
29,Pearl,380.0,0.34210526315789475,2.857142857142857e-05,0.001,0.022,0.7343476676364384,50,0.3,1.0,0.9,1.0,2.0,0.6,0.8,6800.0,5,0.33653846153846156,min,mid_0,0.00027378507871321,51.262046943365384,0.25,10.0,1.0,19,9.295160030897809e-05
30,Pearl,380.0,0.34210526315789475,2.857142857142857e-05,0.001,0.022,0.7343476676364384,50,0.3,1.0,0.9,1.0,2.0,0.6,0.8,6800.0,5,0.33653846153846156,max,min,0.00027378507871321,51.262046943365384,0.25,10.0,30.0,50,8.64e-06
31,Pearl,380.0,0.34210526315789475,2.857142857142857e-05,0.001,0.022,0.7343476676364384,50,0.3,1.0,0.9,1.0,2.0,0.6,0.8,6800.0,5,0.33653846153846156,max,max,0.00027378507871321,51.262046943365384,0.25,10.0,30.0,50,0.001
32,Pearl,380.0,0.34210526315789475,2.857142857142857e-05,0.001,0.022,0.7343476676364384,50,0.3,1.0,0.9,1.0,2.0,0.6,0.8,6800.0,5,0.33653846153846156,max,mid_0,0.00027378507871321,51.262046943365384,0.25,10.0,30.0,50,9.295160030897809e-05
33,Pearl,380.0,0.34210526315789475,2.857142857142857e-05,0.001,0.022,0.7343476676364384,50,0.3,1.0,0.9,1.0,2.0,0.6,0.8,6800.0,5,0.33653846153846156,mid_0,min,0.00027378507871321,51.262046943365384,0.25,10.0,5.477225575051661,81,8.64e-06
34,Pearl,380.0,0.34210526315789475,2.857142857142857e-05,0.001,0.022,0.7343476676364384,50,0.3,1.0,0.9,1.0,2.0,0.6,0.8,6800.0,5,0.33653846153846156,mid_0,max,0.00027378507871321,51.262046943365384,0.25,10.0,5.477225575051661,81,0.001
35,Pearl,380.0,0.34210526315789475,2.857142857142857e-05,0.001,0.022,0.7343476676364384,50,0.3,1.0,0.9,1.0,2.0,0.6,0.8,6800.0,5,0.33653846153846156,mid_0,mid_0,0.00027378507871321,51.262046943365384,0.25,10.0,5.477225575051661,81,9.295160030897809e-05
36,Yangtze,740.0,0.32432432432432434,6e-05,0.0003,0.005,0.9603500592070539,250,0.2,4.0,0.5,1.0,2.0,0.6,1.0,7000.0,1,0.125,min,min,0.0002898275349237889,51.262046943365384,0.25,10.0,4.0,29,1e-06
37,Yangtze,740.0,0.32432432432432434,6e-05,0.0003,0.005,0.9603500592070539,250,0.2,4.0,0.5,1.0,2.0,0.6,1.0,7000.0,1,0.125,min,max,0.0002898275349237889,51.262046943365384,0.25,10.0,4.0,29,2e-05
38,Yangtze,740.0,0.32432432432432434,6e-05,0.0003,0.005,0.9603500592070539,250,0.2,4.0,0.5,1.0,2.0,0.6,1.0,7000.0,1,0.125,min,mid_0,0.0002898275349237889,51.262046943365384,0.25,10.0,4.0,29,4.47213595499958e-06
